City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,kewanee,41.2456,-89.9248,32.66,37,0,6.02,US,1690559135
207,belyy yar,53.6039,91.3903,19.94,77,0,2.0,RU,1690559135
208,nichlaul,27.3167,83.7333,30.97,67,96,2.72,IN,1690559135
209,wucheng,29.6008,118.175,24.6,97,100,4.25,CN,1690559136
210,russell,38.8953,-98.8598,37.05,43,0,3.6,US,1690559136
211,savalou,7.9281,1.9756,27.15,82,100,3.35,BJ,1690559140
212,mahibadhoo,3.7833,72.9667,28.77,69,29,2.05,MV,1690559140
213,sorong,-0.8833,131.25,25.62,89,30,5.23,ID,1690559141
214,gimli,50.6336,-96.9907,15.01,82,98,4.63,CA,1690559141
215,iquique,-20.2208,-70.1431,20.02,69,0,3.73,CL,1690559141
216,kalmunai,7.4167,81.8167,28.21,80,77,1.95,LK,1690559141
217,abha,18.2164,42.5053,30.14,10,40,7.2,SA,1690559142
218,bereznik,62.8551,42.7072,16.06,96,100,3.6,RU,1690559142
219,guerrero negro,27.9769,-114.0611,24.49,56,56,1.59,MX,1690559142
220,turukhansk,65.8167,87.9833,17.64,94,97,3.18,RU,1690559142
221,husavik,66.0449,-17.3389,9.47,87,93,3.77,IS,1690559143
222,klaksvik,62.2266,-6.589,12.51,98,100,6.94,FO,1690559143
223,micheweni,-4.9667,39.8333,24.3,79,0,4.9,TZ,1690559143
224,yakeshi,49.2833,120.7333,16.41,91,74,2.66,CN,1690559143
225,erzin,36.9559,36.2,27.91,75,0,3.3,TR,1690559144
226,richards bay,-28.783,32.0377,20.52,76,0,5.35,ZA,1690559144
227,sterling,39.0062,-77.4286,34.58,58,20,1.54,US,1690559119
228,houma,29.5958,-90.7195,32.22,59,0,0.0,US,1690559145
229,maldonado,-34.9,-54.95,10.95,79,40,4.12,UY,1690559145
230,fairbanks,64.8378,-147.7164,18.84,85,75,1.54,US,1690558957
231,praia,14.9215,-23.5087,31.3,51,20,8.75,CV,1690559146
232,wilmington,34.2257,-77.9447,32.16,78,40,3.09,US,1690559146
233,leh,34.1667,77.5833,19.93,40,25,2.86,IN,1690559146
234,dong hoi,17.4833,106.6,29.32,73,96,4.18,VN,1690559147
235,townsville,-19.25,146.8,17.49,88,16,0.0,AU,1690559147
236,lata,40.1629,-8.3327,29.16,46,0,5.13,PT,1690559147
237,preobrazheniye,42.9019,133.9064,21.82,82,100,3.4,RU,1690559147
238,dawson creek,55.7666,-120.2362,10.8,100,20,0.0,CA,1690559019
239,vestmannaeyjar,63.4427,-20.2734,12.55,76,40,3.6,IS,1690559148
240,gay,51.4666,58.4552,31.29,53,72,3.08,RU,1690559148
241,moctezuma,29.8,-109.6667,29.78,51,57,1.15,MX,1690559148
242,tocopilla,-22.092,-70.1979,20.46,68,10,3.36,CL,1690559149
243,gikongoro,-2.464,29.5739,19.44,44,18,1.0,RW,1690559149
244,portland,45.5234,-122.6762,19.21,77,75,3.6,US,1690558999
245,gorey,52.6747,-6.2925,19.21,76,100,7.4,IE,1690559108
246,murray bridge,-35.1167,139.2667,13.4,92,0,2.8,AU,1690559150
247,bassano,50.7834,-112.4685,13.27,79,100,1.76,CA,1690559150
248,shiyan,32.6475,110.7781,24.2,91,80,1.1,CN,1690559150
249,antofagasta,-23.65,-70.4,17.6,65,38,3.35,CL,1690559151
250,sura,53.8879,45.7419,26.85,58,12,0.85,RU,1690559151
251,geraldton,-28.7667,114.6,12.23,87,75,3.09,AU,1690559151
252,salalah,17.0151,54.0924,25.05,94,100,5.14,OM,1690559151
253,fairview,40.8126,-73.999,32.1,58,0,3.09,US,1690559152
254,ulaangom,49.9811,92.0667,23.04,48,100,0.73,MN,1690559153
255,naze,28.3667,129.4833,27.51,85,98,5.49,JP,1690559154
256,bad salzungen,50.8167,10.2333,24.55,69,100,0.89,DE,1690559154
257,tuatapere,-46.1333,167.6833,6.35,90,99,2.78,NZ,1690559155
258,bubaque,11.2833,-15.8333,27.97,80,91,4.65,GW,1690559155
259,kloulklubed,7.0419,134.2556,24.28,78,100,9.96,PW,1690559156
260,ahipara,-35.1667,173.1667,8.89,80,84,1.93,NZ,1690559156
261,scorteni,45.1,25.85,25.88,44,2,1.53,RO,1690559156
262,waingapu,-9.6567,120.2641,22.22,84,4,4.32,ID,1690559157
263,goderich,43.7501,-81.7165,26.62,73,72,5.14,CA,1690559059
264,broome,-17.9667,122.2333,13.97,88,77,0.0,AU,1690559158
265,rantepao,-2.9701,119.8978,19.61,96,91,0.66,ID,1690559158
